concelho,month,year,sum
Albergaria-a-Velha,5,2019,1.6019999999999999
Albergaria-a-Velha,5,2021,0.11
Albergaria-a-Velha,6,2015,1.6770000000000003
Albergaria-a-Velha,6,2016,0.07500000000000001
Albergaria-a-Velha,6,2017,0.02
Albergaria-a-Velha,6,2018,0.536
Albergaria-a-Velha,6,2019,0.12
Albergaria-a-Velha,6,2020,0.032
Albergaria-a-Velha,6,2021,1.46
Albergaria-a-Velha,7,2015,1.147
Albergaria-a-Velha,7,2016,0.8700000000000001
Albergaria-a-Velha,7,2017,0.21600000000000003
Albergaria-a-Velha,7,2018,1.198
Albergaria-a-Velha,7,2019,1.969
Albergaria-a-Velha,7,2020,5.035999999999999
Albergaria-a-Velha,7,2021,0.6289999999999999
Albergaria-a-Velha,8,2015,0.7200000000000001
Albergaria-a-Velha,8,2016,23.661999999999995
Albergaria-a-Velha,8,2017,19.358999999999998
Albergaria-a-Velha,8,2018,15.031000000000004
Albergaria-a-Velha,8,2019,1.1749999999999998
Albergaria-a-Velha,8,2020,1.2830000000000001
Albergaria-a-Velha,8,2021,1.6069999999999998
Albergaria-a-Velha,9,2015,0.022
Albergaria-a-Velha,9,2016,3.655
Albergaria-a-Velha,9,2017,3.4889999999999994
Albergaria-a-Velha,9,2018,6.554999999999998
Albergaria-a-Velha,9,2019,539.438
Albergaria-a-Velha,9,2020,63.297
Albergaria-a-Velha,10,2015,0.115
Albergaria-a-Velha,10,2016,0.18
Albergaria-a-Velha,10,2017,3.4
Albergaria-a-Velha,10,2018,5.6339999999999995
Albergaria-a-Velha,10,2019,0.29000000000000004
Albergaria-a-Velha,10,2020,0.319
Albergaria-a-Velha,11,2015,0.551
Albergaria-a-Velha,11,2016,0.005
Albergaria-a-Velha,11,2017,0.05
Albergaria-a-Velha,11,2020,0.047
Albergaria-a-Velha,12,2015,0.01
Albergaria-a-Velha,12,2016,0.2
Albergaria-a-Velha,12,2017,0.005
Albufeira,1,2016,0.0083
Albufeira,2,2016,0.001
Albufeira,2,2018,0.01
Albufeira,2,2019,0.002
Albufeira,3,2016,0.0122
Albufeira,3,2019,1.4100000000000001
Albufeira,3,2020,0.0035
Albufeira,4,2015,0.003
Albufeira,4,2018,0.01
Albufeira,4,2019,0.1272
Albufeira,5,2015,0.6251
Albufeira,5,2017,0.6890000000000001
Albufeira,5,2018,0.1728
Albufeira,5,2019,0.0162
Albufeira,5,2020,0.3163
Albufeira,5,2021,0.1719
Albufeira,6,2015,0.272
Albufeira,6,2016,0.1316
Albufeira,6,2017,4.2653
Albufeira,6,2018,0.0103
Albufeira,6,2019,3.1592
Albufeira,6,2020,0.23920000000000002
Albufeira,6,2021,0.522
Albufeira,7,2015,0.9757999999999999
Albufeira,7,2016,0.9600000000000001
Albufeira,7,2017,0.9905
Albufeira,7,2018,0.005
Albufeira,7,2019,0.14650000000000002
Albufeira,7,2020,0.0627
Albufeira,7,2021,0.255
Albufeira,8,2015,0.06069999999999999
Albufeira,8,2016,0.28500000000000003
Albufeira,8,2017,0.114
Albufeira,8,2018,0.3441
Albufeira,8,2019,0.31710000000000005
Albufeira,8,2021,0.683
Albufeira,9,2015,0.056900000000000006
Albufeira,9,2016,0.001
Albufeira,9,2017,1.0
Albufeira,9,2018,0.5742
Albufeira,9,2019,0.4162
Albufeira,9,2020,0.0065
Albufeira,9,2021,0.005
Albufeira,10,2015,0.0015
Albufeira,10,2016,0.024999999999999998
Albufeira,10,2017,0.003
Albufeira,10,2018,0.3582
Albufeira,10,2019,0.2618
Albufeira,11,2019,0.0762
Albufeira,12,2017,0.5235
Alcanena,1,2015,0.0664
Alcanena,2,2017,0.02
Alcanena,2,2018,0.0321
Alcanena,2,2019,0.035
Alcanena,2,2021,0.0136
Alcanena,3,2015,0.21839999999999998
Alcanena,3,2017,0.1602
Alcanena,3,2019,0.0055
Alcanena,3,2020,0.2135
Alcanena,4,2015,0.43429999999999996
Alcanena,4,2016,0.0957
Alcanena,4,2017,0.0375
Alcanena,4,2021,0.15960000000000002
Alcanena,5,2015,0.376
Alcanena,5,2018,0.1344
Alcanena,5,2021,0.07700000000000001
Alcanena,6,2015,0.0581
Alcanena,6,2017,1.7849000000000002
Alcanena,6,2018,0.2172
Alcanena,6,2020,0.005
Alcanena,7,2015,4.91696
Alcanena,7,2016,6.6735
Alcanena,7,2017,24.163800000000002
Alcanena,7,2018,0.0653
Alcanena,7,2019,1.9566000000000001
Alcanena,7,2020,0.1052
Alcanena,7,2021,0.0202
Alcanena,8,2015,44.54190000000001
Alcanena,8,2016,1.0457
Alcanena,8,2017,13.459299999999999
Alcanena,8,2018,1.4381000000000002
Alcanena,8,2019,49.3082
Alcanena,8,2020,0.2267
Alcanena,8,2021,0.8262
Alcanena,9,2015,49.6731
Alcanena,9,2016,6.966799999999999
Alcanena,9,2017,0.3498
Alcanena,9,2018,32.987783341119
Alcanena,9,2019,9.657300000000003
Alcanena,9,2020,0.0828
Alcanena,9,2021,0.001
Alcanena,10,2015,0.1629
Alcanena,10,2016,0.623
Alcanena,10,2017,0.1691
Alcanena,10,2018,0.8317000000000001
Alcanena,10,2019,0.0786
Alcanena,10,2020,0.28659999999999997
Alcanena,11,2016,3.3519
Alcobaça,1,2015,0.0336
Alcobaça,1,2016,0.002
Alcobaça,2,2015,0.005
Alcobaça,2,2016,0.02
Alcobaça,2,2017,0.05
